TICKER_SYMBOL_IDENTIFIER,PRODUCT_TYPE
MBAAX,Mutual Funds
FSXPX,Mutual Funds
PDMYX,Mutual Funds
RDISX,Mutual Funds
CMSTX,Mutual Funds
JEEAX,Mutual Funds
CGRYX,Mutual Funds
WCEAX,Mutual Funds
NLGAX,Mutual Funds
RHJTX,Mutual Funds
PEQUX,Mutual Funds
FTUCX,Mutual Funds
SUIIX,Mutual Funds
ANEFX,Mutual Funds
VEUAX,Mutual Funds
GCVIX,Mutual Funds
NINLX,Mutual Funds
AMDWX,Mutual Funds
PSPCX,Mutual Funds
FFINX,Mutual Funds
ALFYX,Mutual Funds
GTIRX,Mutual Funds
FZFXX,Mutual Funds
FNIRX,Mutual Funds
FSPDX,Mutual Funds
FADCX,Mutual Funds
FGRFX,Mutual Funds
MAPPX,Mutual Funds
UBVCX,Mutual Funds
PRWCX,Mutual Funds
PRHYX,Mutual Funds
ERLVX,Mutual Funds
UAVAX,Mutual Funds
NTMAX,Mutual Funds
PAVIX,Mutual Funds
ACETX,Mutual Funds
ADNYX,Mutual Funds
SICWX,Mutual Funds
MAPTX,Mutual Funds
MKRFX,Mutual Funds
MLTHX,Mutual Funds
PCMRX,Mutual Funds
OYRDX,Mutual Funds
PWREX,Mutual Funds
FRQTX,Mutual Funds
NGGAX,Mutual Funds
FOIXX,Mutual Funds
ICNEX,Mutual Funds
MSCDX,Mutual Funds
PARLX,Mutual Funds
FBTTX,Mutual Funds
CBAIX,Mutual Funds
FSGAX,Mutual Funds
EPINX,Mutual Funds
NIQTX,Mutual Funds
TWEAX,Mutual Funds
ASPIX,Mutual Funds
RDJTX,Mutual Funds
WAARX,Mutual Funds
PACYX,Mutual Funds
FMFMX,Mutual Funds
SVIIX,Mutual Funds
GAATX,Mutual Funds
BICAX,Mutual Funds
RLPHX,Mutual Funds
MTJKX,Mutual Funds
PBRNX,Mutual Funds
VVPSX,Mutual Funds
RFNBX,Mutual Funds
LIQAX,Mutual Funds
HNGFX,Mutual Funds
WBSNX,Mutual Funds
FTCRX,Mutual Funds
FOHFX,Mutual Funds
NRUBX,Mutual Funds
JSIVX,Mutual Funds
RSVAX,Mutual Funds
FDMMX,Mutual Funds
VTTSX,Mutual Funds
FPADX,Mutual Funds
JOLIX,Mutual Funds
FOTKX,Mutual Funds
ABIYX,Mutual Funds
FLIFX,Mutual Funds
FGEBX,Mutual Funds
FEZPX,Mutual Funds
MYRWX,Mutual Funds
FFNIX,Mutual Funds
MGHIX,Mutual Funds
FGIAX,Mutual Funds
OGIYX,Mutual Funds
NRABX,Mutual Funds
DGLAX,Mutual Funds
JETAX,Mutual Funds
FPCIX,Mutual Funds
SSBSX,Mutual Funds
GGASX,Mutual Funds
LSWWX,Mutual Funds
CRBYX,Mutual Funds
